route_id,Cities,geo_longitude,geo_latitude,geo_accuracy
0,"Boston, MA",-71.05674,42.358662,40
1,"Baltimore, MD",-76.609261,39.290581,40
1,"Washington, DC",-77.03196,38.890369,40
1,"Charlottesville, VA",-78.477531,38.032131,40
1,"Blue Ridge Parkway, VA",-79.98999,37.22316,63
1,"Asheville, NC",-82.553139,35.598461,40
1,"Athens, GA",-83.373253,33.95813,40
1,"Gainesville, FL",-82.323181,29.651951,40
1,"New Orleans, LA",-90.077751,29.953699,40
1,"Tuscaloosa, AL",-87.565933,33.210491,40
1,"Richmond, VA",-77.433647,37.540699,40
2,"Buffalo, NY",-78.878464,42.885441,40
2,"Columbus, OH",-83.002747,39.96199,40
2,"Bloomington, IN",-86.534241,39.166592,40
2,"Chicago, IL",-87.632446,41.884251,40
2,"Lincoln, NE",-96.707741,40.813622,40
2,"Denver, CO",-104.992302,39.740009,40
2,"Moab, UT",-109.549797,38.573269,40
2,"Reno, NV",-119.813438,39.527382,40
2,"San Francisco/Oakland, CA",-122.232277,37.77663,70
2,"Sonoma County, CA",-122.925308,38.482401,30
2,"Portland, OR",-122.675629,45.511791,40
2,"Seattle, WA",-122.329437,47.603561,40
2,Yellowstone National Park,-110.49089,44.620121,63
2,"Rapid City, SD",-103.230888,44.081162,40
2,"Fairfield, IA",-91.962914,41.006641,40
2,"Janesville, WI",-89.018211,42.687889,40
2,"Chicago, IL",-87.632446,41.884251,40
2,"Pittsburgh, PA, ",-79.997459,40.438332,40
