cities,route_id,created_at,updated_at,cartodb_georef_status,longitude,latitude,hover_text,stop_num,band_1,description_1,video_1,band_2,description_2,video_2,band_3,description_3,video_3,band_4,description_4,video_4,band_5,description_5,video_5,cartodb_id,pic,geojson
"Lincoln, NE",2,1/2/02 21:42,1/2/02 21:56,1,-96.70774,40.81362,Video coming soon!,5,,,,,,,,,,,,,,,,16,http://dl.dropbox.com/u/50502657/Folk_to_Folk/img/hoverstate.png,"{""type"":""Point"",""coordinates"":[-96.70774,40.81362]}"
"Charlottesville, VA",2,1/2/02 21:42,3/22/13 21:51,1,-78.47753,38.03213,Video coming soon!,4,,,,,,,,,,,,,,,,4,http://dl.dropbox.com/u/50502657/Folk_to_Folk/img/hoverstate.png,"{""type"":""Point"",""coordinates"":[-78.47753,38.03213]}"
"Baltimore, MD",1,1/2/02 21:42,3/22/13 21:51,1,-76.60926,39.29058,Click to see videos,2,Ryan Harvey and Mark Gunnery of the Riot Folk Collective,Interview,"<iframe src=""http://player.vimeo.com/video/33633550?title=0&amp;byline=0&amp;portrait=0"" width=""200"" height=""113"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",Ryan Harvey of the Riot Folk Collective ,"""Today and Tomorrow""","<iframe src=""http://player.vimeo.com/video/32971433?title=0&amp;byline=0&amp;portrait=0"" width=""200"" height=""113"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",,,,,,,,,,2,http://dl.dropbox.com/u/50502657/Folk_to_Folk/hover_images/baltimore-md.png,"{""type"":""Point"",""coordinates"":[-76.60926,39.29058]}"
"Washington, DC",2,1/2/02 21:42,3/22/13 21:51,1,-77.03196,38.89037,Video coming soon!,3,,,,,,,,,,,,,,,,3,http://dl.dropbox.com/u/50502657/Folk_to_Folk/img/hoverstate.png,"{""type"":""Point"",""coordinates"":[-77.03196,38.89037]}"
"Asheville, NC",1,1/2/02 21:42,3/22/13 21:51,1,-82.54601,35.63009,Click to see videos,6,Uncle Mountain,"""Miles of Skyline""","<iframe src=""http://player.vimeo.com/video/33999992?title=0&amp;byline=0&amp;portrait=0"" width=""200"" height=""113"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",The Honeycutters,"""It's Not That Simple"" ","<iframe src=""http://player.vimeo.com/video/33998929?title=0&amp;byline=0&amp;portrait=0"" width=""200"" height=""113"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe> ",,,,,,,,,,6,http://dl.dropbox.com/u/50502657/Folk_to_Folk/hover_images/asheville-nc.png,"{""type"":""Point"",""coordinates"":[-82.54601,35.63009]}"
"Blue Ridge Parkway, VA",2,1/2/02 21:42,3/22/13 21:51,1,-80.32122,36.94437,Video coming soon!,5,,,,,,,,,,,,,,,,5,http://dl.dropbox.com/u/50502657/Folk_to_Folk/img/hoverstate.png,"{""type"":""Point"",""coordinates"":[-80.32122,36.94437]}"
"Athens, GA",1,1/2/02 21:42,3/22/13 21:51,1,-83.37325,33.95813,Click to see videos,7,Yo Soybean,Interview,"<iframe src=""http://player.vimeo.com/video/45609010?title=0&amp;byline=0&amp;portrait=0"" width=""200"" height=""113"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",Yo Soybean,"""An Old War in the New South""","<iframe src=""http://player.vimeo.com/video/43509044?title=0&amp;byline=0&amp;portrait=0"" width=""200"" height=""113"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe> ",,,,,,,,,,7,http://dl.dropbox.com/u/50502657/Folk_to_Folk/hover_images/athens-ga.png,"{""type"":""Point"",""coordinates"":[-83.37325,33.95813]}"
"Gainesville, FL",1,1/2/02 21:42,3/22/13 21:51,1,-82.32318,29.65195,Click to see videos,8,The Wild,Interview,"<iframe src=""http://player.vimeo.com/video/50418103?title=0&amp;byline=0&amp;portrait=0"" width=""200"" height=""113"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe> ",The Wild,"""Hard Times""","<iframe src=""http://player.vimeo.com/video/50417122?title=0&amp;byline=0&amp;portrait=0"" width=""200"" height=""113"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe> ",,,,,,,,,,8,http://dl.dropbox.com/u/50502657/Folk_to_Folk/hover_images/gainesville-fl.png,"{""type"":""Point"",""coordinates"":[-82.32318,29.65195]}"
"New Orleans, LA",1,1/2/02 21:42,3/22/13 21:51,1,-90.07775,29.9537,Click to see videos,9,Alynda and Yosi of Hurray for the Riff Raff,"""People Talkin'"" (Lucinda Williams cover)","<iframe src=""http://player.vimeo.com/video/32944400?title=0&amp;byline=0&amp;portrait=0"" width=""200"" height=""113"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe> ",Alynda and Yosi of Hurray for the Riff Raff,"""Lookout Mama""","<iframe src=""http://player.vimeo.com/video/32940679?title=0&amp;byline=0&amp;portrait=0"" width=""200"" height=""113"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",,,,,,,,,,9,http://dl.dropbox.com/u/50502657/Folk_to_Folk/img/hoverstate.png,"{""type"":""Point"",""coordinates"":[-90.07775,29.9537]}"
"Tuscaloosa, AL",2,1/2/02 21:42,3/22/13 21:51,1,-87.56593,33.21049,Video coming soon!,10,,,,,,,,,,,,,,,,10,http://dl.dropbox.com/u/50502657/Folk_to_Folk/img/hoverstate.png,"{""type"":""Point"",""coordinates"":[-87.56593,33.21049]}"
"Columbus, OH",1,1/2/02 21:42,1/2/02 21:56,1,-83.00275,39.96199,Click to see videos,2,Saintseneca,"""Only the Good Die Young""","<iframe src=""http://player.vimeo.com/video/54907743?title=0&amp;byline=0&amp;portrait=0"" width=""200"" height=""112"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe> ",,,,,,,,,,,,,13,http://dl.dropbox.com/u/50502657/Folk_to_Folk/hover_images/columbus-oh.png,"{""type"":""Point"",""coordinates"":[-83.00275,39.96199]}"
"Bloomington, IN",2,1/2/02 21:42,1/2/02 21:56,1,-86.53424,39.16659,Video coming soon!,3,,,,,,,,,,,,,,,,14,http://dl.dropbox.com/u/50502657/Folk_to_Folk/hover_images/bloomington-in.png,"{""type"":""Point"",""coordinates"":[-86.53424,39.16659]}"
"Chicago, IL",2,1/2/02 21:42,1/2/02 21:56,1,-87.63241,41.88415,Video coming soon!,4,,,,,,,,,,,,,,,,15,http://dl.dropbox.com/u/50502657/Folk_to_Folk/hover_images/chicago.png,"{""type"":""Point"",""coordinates"":[-87.63241,41.88415]}"
"Denver, CO",1,1/2/02 21:42,1/2/02 21:56,1,-104.9923,39.74001,Click to see videos,6,Paper Bird,"""The Doldrums"" (acapella)","<iframe src=""http://player.vimeo.com/video/52030634?title=0&amp;byline=0&amp;portrait=0"" width=""200"" height=""113"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe>",,,,,,,,,,,,,17,http://dl.dropbox.com/u/50502657/Folk_to_Folk/hover_images/denver-co.png,"{""type"":""Point"",""coordinates"":[-104.9923,39.74001]}"
